,start,end,six,hour,dayofyear,month,year,on_time,off_time,start_sm_irr_on,end_sm_irr_on,start_sm_irr_off,end_sm_irr_off,dsm_irr_on,dsm_irr_off,dsm,water_meter_avg_flow,mean_off,mean_on,std_off,std_on,linslope_off_est,linslope_off_err_est,expdecay_off_est,expdecay_err_est,linslope_dsm_off,linslope_dsm_on,neg_slope
0,2020-12-02 07:00:00,2020-12-07 12:00:00,grower_1:plot_1:iplant_1,7,337,12,2020,1.0,124.0,27.9721927643,34.7399902344,33.6936073303,26.7712841034,6.767797470099996,-6.922323226899998,-1.2009086609000017,3666.6666666666665,28.930344970704,32.46786053976667,1.730905568722817,3.893438306530612,-0.0448690230081114,0.0007075623326211,-0.0015704131161239,2.2267452031348515e-05,-0.0558251873137096,6.767797470099996,True
1,2020-12-02 07:00:00,2020-12-07 12:00:00,grower_1:plot_1:iplant_1,7,337,12,2020,1.0,124.0,27.9721927643,34.7399902344,33.6936073303,26.7712841034,6.767797470099996,-6.922323226899998,-1.2009086609000017,3666.6666666666665,28.930344970704,32.46786053976667,1.730905568722817,3.893438306530612,-0.0448690230081114,0.0007075623326211,-0.0015704131161239,2.2267452031348515e-05,-0.0558251873137096,6.767797470099996,True
0,2020-12-02 07:00:00,2020-12-07 12:00:00,grower_1:plot_1:iplant_1,7,337,12,2020,1.0,124.0,27.9721927643,34.7399902344,33.6936073303,26.7712841034,6.767797470099996,-6.922323226899998,-1.2009086609000015,3666.6666666666665,28.930344970704,32.46786053976667,1.730905568722817,3.893438306530612,-0.04486902300811142,0.0007075623326211236,-0.0015704131161239905,2.2267452031348515e-05,-0.05582518731370966,6.767797470099996,True
